id,core_no,image,well_name,litho_image
141,1,core_images/core2_87LETjO.PNG,BEGUMGANJ # 3,
142,2,core_images/core3_IFW5pFP.PNG,BEGUMGANJ # 3,
165,1,,SEMUTANG # 6,
166,1,,SHAHBAZPUR # 4,
167,2,,SHAHBAZPUR # 4,
168,3,,SHAHBAZPUR # 4,
176,1,,SRIKAIL # 3,
177,2,,SRIKAIL # 3,
181,1,,BOGRA # 2,
182,2,,BOGRA # 2,
183,3,,BOGRA # 2,
184,4,,BOGRA # 2,
185,5,,BOGRA # 2,
186,6,core_images/core3_bhqL9p2.PNG,BOGRA # 2,
187,7,,BOGRA # 2,
188,8,,BOGRA # 2,
189,9,core_images/core3_I4DpxFN.PNG,BOGRA # 2,
190,1,,SHAHBAZPUR # 1,
191,2,,SHAHBAZPUR # 1,
192,3,,SHAHBAZPUR # 1,
193,4,,SHAHBAZPUR # 1,
194,5,,SHAHBAZPUR # 1,
195,6,,SHAHBAZPUR # 1,
196,5,,SALDANADI # 1,
197,6,,SALDANADI # 1,
198,7,core_images/core_fBu0dqI.PNG,SALDANADI # 1,
203,2,,BEANIBAZAR # 2,
204,3,,BEANIBAZAR # 2,
205,5,,FENCHUGANJ # 2,
206,6,,FENCHUGANJ # 2,
207,8,,FENCHUGANJ # 2,
208,9,,FENCHUGANJ # 2,
209,10,core_images/core2_d5DFvO1.PNG,FENCHUGANJ # 2,
210,12,,FENCHUGANJ # 2,
211,13,,FENCHUGANJ # 2,
212,14,,FENCHUGANJ # 2,
213,15,,FENCHUGANJ # 2,
214,16,,FENCHUGANJ # 2,
216,5,,KAILASHTILA # 1,
217,7,,KAILASHTILA # 1,
218,1,,KAILASHTILA # 4,
219,2,,KAILASHTILA # 4,
220,1,,KAILASHTILA # 5,
221,2,,PATHARIA # 5,
222,3,,PATHARIA # 5,
223,4,,PATHARIA # 5,
246,1,,RASHIDPUR # 8,
247,2,,RASHIDPUR # 8,
248,3,,RASHIDPUR # 8,
249,1,core_images/core_wUeFjzK.PNG,SYLHET # 8,
250,1,core_images/core3_u4Wp9zv.PNG,BHOLA NORTH # 1,litho_images/Litho_semutang.JPG
