id,well_name,length,depth,porosity,perm_kair,grain_density,resistivity,core_id,core_no
1548,BEGUMGANJ # 3,7.0,2890.9,15.42957,84.5044997,3.420269,60.751,141,1
1549,BEGUMGANJ # 3,7.0,2891.1,16.64307,180.063493,3.753415,93.499,141,1
1550,BEGUMGANJ # 3,7.0,2891.9,17.0801,207.850654,3.814757,27.655,141,1
1551,BEGUMGANJ # 3,7.0,2892.1,14.9588,30.7354826,2.691252,114.348,141,1
1552,BEGUMGANJ # 3,7.0,2892.1,17.08171,45.9657075,3.002314,109.442,141,1
1553,BEGUMGANJ # 3,7.0,2892.2,13.81136,32.9410681,2.330784,19.815,141,1
1554,BEGUMGANJ # 3,7.0,2893.1,15.47164,93.5512939,3.171679,14.045,141,1
1555,BEGUMGANJ # 3,7.0,2894.9,16.55014,64.1801579,3.68911,85.451,141,1
1556,BEGUMGANJ # 3,7.0,2895.1,14.4171,49.5237319,3.228874,0.0,141,1
1557,BEGUMGANJ # 3,7.0,2895.6,9.558554,12.8553364,1.676116,18.009,141,1
1558,BEGUMGANJ # 3,7.0,2896.5,12.95752,34.9082999,2.704515,34.681,141,1
1559,BEGUMGANJ # 3,7.0,2896.8,12.42969,32.1326722,2.505502,66.8,141,1
1560,BEGUMGANJ # 3,7.0,2896.9,13.07684,28.5793445,2.04236,0.0,141,1
1561,BEGUMGANJ # 3,9.0,3180.5,2.4205065,0.0819723,2.576244586,81.812,142,2
1562,BEGUMGANJ # 3,9.0,3182.2,2.6221355,0.2145238,2.504527093,37.778,142,2
1563,BEGUMGANJ # 3,9.0,3182.5,4.0900662,0.1618133,2.587350413,18.883,142,2
1564,BEGUMGANJ # 3,9.0,3184.1,6.7900489,0.1898968,2.457773388,20.609,142,2
1565,BEGUMGANJ # 3,9.0,3184.5,8.0472086,0.2633945,2.490780726,19.723,142,2
1566,BEGUMGANJ # 3,9.0,3184.9,11.445657,15.974445,2.489464474,25.402,142,2
1567,BEGUMGANJ # 3,9.0,3185.1,11.126197,15.038183,2.450837155,23.459,142,2
1568,BEGUMGANJ # 3,9.0,3185.2,4.9010977,0.5419783,2.535012561,37.518,142,2
1628,SEMUTANG # 6,9.0,2918.7,12.17162,2.068091,2.466626,18.172,165,1
1629,SEMUTANG # 6,9.0,2919.7,11.8487,4.233472,2.438027,13.74,165,1
1630,SEMUTANG # 6,9.0,2919.8,11.68424,3.761879,2.465141,17.25,165,1
1631,SEMUTANG # 6,9.0,2919.9,12.00219,1.973399,2.526445,62.037,165,1
1632,SEMUTANG # 6,9.0,2920.0,12.10445,3.250299,2.496091,19.262,165,1
1633,SEMUTANG # 6,9.0,2920.3,5.966717,0.061843,2.558049,51.656,165,1
1634,SEMUTANG # 6,9.0,2920.7,11.78527,1.542327,2.510185,0.0,165,1
1635,SEMUTANG # 6,9.0,2920.7,11.86859,2.444805,2.505203,32.658,165,1
1636,SEMUTANG # 6,9.0,2920.7,10.43639,1.242095,2.470712,10.324,165,1
1637,SEMUTANG # 6,9.0,2921.3,11.18751,2.435678,2.476493,13.224,165,1
1638,SEMUTANG # 6,9.0,2921.7,11.54764,2.906377,2.505619,13.796,165,1
1639,SEMUTANG # 6,9.0,2921.7,10.36921,0.866273,2.484927,0.0,165,1
1640,SEMUTANG # 6,9.0,2921.7,12.53578,2.451278,2.528493,18.075,165,1
1641,SEMUTANG # 6,9.0,2922.3,12.4858,2.73026,2.614168,16.393,165,1
1642,SEMUTANG # 6,9.0,2922.3,12.70509,3.569001,2.511273,16.293,165,1
1643,SEMUTANG # 6,9.0,2922.7,11.83402,1.123255,2.472967,14.649,165,1
1644,SEMUTANG # 6,9.0,2922.7,12.01586,3.535018,2.483705,15.583,165,1
