id,date,flow_rate,cumulative_flow_rate,water_production,condensate_production,well_id
859,2012-03-17,8.7063,8.7063,0.0,0.0,4
860,2012-03-18,8.8558,17.5621,0.0,0.0,4
861,2012-03-19,5.7739,23.336,0.0,0.0,4
862,2012-03-20,7.6723,31.0083,0.0,0.0,4
863,2012-03-21,7.8179,38.8262,0.0,0.0,4
864,2012-03-22,7.6827,46.5089,0.0,0.0,4
865,2012-03-23,6.8177,53.3266,0.0,0.0,4
866,2012-03-24,7.8171,61.1437,0.0,0.0,4
867,2012-03-25,7.902,69.0457,0.0,0.0,4
868,2012-03-26,6.887,75.9327,0.0,0.0,4
869,2012-03-27,6.6938,82.6265,0.0,0.0,4
870,2012-03-28,6.9609,89.5874,0.0,0.0,4
871,2012-03-29,6.7361,96.3235,0.0,0.0,4
872,2012-03-30,5.8991,102.2226,0.0,0.0,4
873,2012-03-31,6.4859,108.7085,0.0,0.0,4
874,2012-04-01,6.8846,115.5931,0.0,0.0,4
875,2012-04-02,6.5796,122.1727,0.0,0.0,4
876,2012-04-03,6.5471,128.7198,0.0,0.0,4
877,2012-04-04,7.1157,135.8355,0.0,0.0,4
878,2012-04-05,7.2049,143.0404,0.0,0.0,4
879,2012-04-06,6.9544,149.9948,0.0,0.0,4
880,2012-04-07,6.679,156.6738,0.0,0.0,4
881,2012-04-08,7.1266,163.8004,0.0,0.0,4
882,2012-04-09,7.0024,170.8028,0.0,0.0,4
883,2012-04-10,6.741,177.5438,0.0,0.0,4
884,2012-04-11,6.735,184.2788,0.0,0.0,4
885,2012-04-12,6.7436,191.0224,0.0,0.0,4
886,2012-04-13,5.7884,196.8108,0.0,0.0,4
887,2012-04-14,5.7657,202.5765,0.0,0.0,4
888,2012-04-15,5.7602,208.3367,0.0,0.0,4
889,2012-04-16,6.0795,214.4162,0.0,0.0,4
890,2012-04-17,5.9958,220.412,0.0,0.0,4
891,2012-04-18,6.1027,226.5147,0.0,0.0,4
892,2012-04-19,6.0725,232.5872,0.0,0.0,4
893,2012-04-20,5.2429,237.8301,0.0,0.0,4
894,2012-04-21,5.3553,243.1854,0.0,0.0,4
895,2012-04-22,4.664,247.8494,0.0,0.0,4
896,2012-04-23,6.3455,254.1949,0.0,0.0,4
897,2012-04-24,7.1705,261.3654,0.0,0.0,4
898,2012-04-25,8.4908,269.8562,0.0,0.0,4
899,2012-04-26,8.517,278.3732,0.0,0.0,4
900,2012-04-27,8.233,286.6062,0.0,0.0,4
901,2012-04-28,9.1358,295.742,0.0,0.0,4
902,2012-04-29,7.0638,302.8058,0.0,0.0,4
903,2012-04-30,7.1697,309.9755,0.0,0.0,4
904,2012-05-01,8.9061,318.8816,0.0,0.0,4
905,2012-05-02,9.5091,328.3907,0.0,0.0,4
906,2012-05-03,8.9144,337.3051,0.0,0.0,4
907,2012-05-04,7.3687,344.6738,0.0,0.0,4
908,2012-05-05,7.9349,352.6087,0.0,0.0,4
909,2012-05-06,8.8894,361.4981,0.0,0.0,4
910,2012-05-07,8.8005,370.2986,0.0,0.0,4
911,2012-05-08,8.4226,378.7212,0.0,0.0,4
912,2012-05-09,8.6845,387.4057,0.0,0.0,4
913,2012-05-10,8.455,395.8607,0.0,0.0,4
914,2012-05-11,8.3374,404.1981,0.0,0.0,4
915,2012-05-12,8.791,412.9891,0.0,0.0,4
916,2012-05-13,9.0039,421.993,0.0,0.0,4
917,2012-05-14,8.8935,430.8865,0.0,0.0,4
918,2012-05-15,8.8398,439.7263,0.0,0.0,4
919,2012-05-16,9.0099,448.7362,0.0,0.0,4
920,2012-05-17,7.3029,456.0391,0.0,0.0,4
921,2012-05-18,8.729,464.7681,0.0,0.0,4
922,2012-05-19,9.2343,474.0024,0.0,0.0,4
923,2012-05-20,9.3474,483.3498,0.0,0.0,4
924,2012-05-21,9.3942,492.744,0.0,0.0,4
925,2012-05-22,8.7417,501.4857,1.1,0.45,4
926,2012-05-23,9.0482,510.5339,1.2,0.4,4
927,2012-05-24,9.2197,519.7536,1.25,0.45,4
928,2012-05-25,8.1135,527.8671,1.15,0.35,4
929,2012-05-26,9.155,537.0221,0.95,0.3,4
930,2012-05-27,9.6076,546.6297,1.1,0.4,4
931,2012-05-28,9.2723,555.902,1.25,0.5,4
932,2012-05-29,9.6892,565.5912,1.5,0.45,4
933,2012-05-30,8.8613,574.4525,1.45,0.45,4
934,2012-05-31,10.0585,584.511,1.55,0.5,4
935,2012-06-01,10.052,594.563,1.45,0.5,4
936,2012-06-02,9.5767,604.1397,1.55,0.35,4
937,2012-06-03,8.8673,613.007,1.6,0.3,4
938,2012-06-04,9.8394,622.8464,1.65,0.35,4
939,2012-06-05,8.9372,631.7836,1.65,0.3,4
940,2012-06-06,9.6327,641.4163,1.7,0.35,4
941,2012-06-07,9.8831,651.2994,1.7,0.35,4
942,2012-06-08,9.104,660.4034,1.7,0.3,4
943,2012-06-09,9.418,669.8214,1.75,0.35,4
944,2012-06-10,10.2058,680.0272,1.8,0.35,4
945,2012-06-11,10.3412,690.3684,2.5,0.4,4
946,2012-06-12,9.9561,700.3245,2.45,0.35,4
947,2012-06-13,10.5039,710.8284,2.7,0.4,4
948,2012-06-14,10.1384,720.9668,2.75,0.45,4
949,2012-06-15,9.7115,730.6783,2.65,0.35,4
950,2012-06-16,9.8347,740.513,2.65,0.35,4
951,2012-06-17,10.1334,750.6464,2.75,0.4,4
952,2012-06-18,9.7704,760.4168,2.7,0.4,4
953,2012-06-19,9.6896,770.1064,2.7,0.45,4
954,2012-06-20,10.099,780.2054,2.75,0.45,4
955,2012-06-21,10.0313,790.2367,2.7,0.4,4
956,2012-06-22,9.5603,799.797,2.65,0.35,4
957,2012-06-23,10.4496,810.2466,2.8,0.5,4
958,2012-06-24,11.2549,821.5015,3.0,0.55,4
959,2012-06-25,10.3229,831.8244,2.85,0.45,4
960,2012-06-26,10.2016,842.026,2.85,0.45,4
961,2012-06-27,10.1061,852.1321,2.84,0.42,4
962,2012-06-28,10.1964,862.3285,2.85,0.4,4
963,2012-06-29,9.5668,871.8953,2.8,0.35,4
964,2012-06-30,9.8023,881.6976,2.8,0.35,4
965,2012-07-01,10.3436,892.0412,2.82,0.38,4
